worker_id,platform,city,experience,vehicle,monthly_gross,monthly_net,monthly_incentives,monthly_hours,monthly_trips,avg_effective_hourly,avg_efficiency,avg_idle_mins,claimed_monthly,gap_score,net_gap_score,effective_hourly,vs_min_wage,below_min_wage,incentive_dependency,cluster,persona
W00001,Swiggy,Mumbai,2+ years,Bicycle,29513.85,28993.85,3248.99,269,633,108.31,46.82,267.27,40000,26.2,27.5,107.78,53.78,False,11.0,1,Stable
W00002,Swiggy,Mumbai,< 6 months,Car,18135.34,9008.43,1657.42,265,397,32.64,45.21,359.65,40000,54.7,77.5,33.99,-20.01,True,9.1,3,Surviving
W00003,Swiggy,Hyderabad,6-12 months,Bike,19317.93,14637.93,2131.26,250,487,58.96,39.82,290.35,40000,51.7,63.4,58.55,4.55,False,11.0,3,Surviving
W00004,Swiggy,Hyderabad,2+ years,Car,23433.35,14879.35,2675.41,265,594,55.75,39.28,282.27,40000,41.4,62.8,56.15,2.15,False,11.4,3,Surviving
W00005,Swiggy,Chennai,< 6 months,Bike,13860.74,9232.74,1334.14,246,396,37.01,34.87,323.31,40000,65.3,76.9,37.53,-16.47,True,9.6,3,Surviving
W00006,Swiggy,Mumbai,< 6 months,Bike,19569.74,14499.74,1922.88,267,427,54.26,45.84,348.31,40000,51.1,63.8,54.31,0.31,False,9.8,3,Surviving
W00007,Swiggy,Mumbai,1-2 years,Bike,24178.75,19108.75,2495.58,258,526,74.58,45.76,287.08,40000,39.6,52.2,74.06,20.06,False,10.3,1,Stable
W00008,Swiggy,Bengaluru,2+ years,Car,26115.31,17186.91,2728.66,253,606,67.25,43.1,249.08,40000,34.7,57.0,67.93,13.93,False,10.4,1,Stable
W00009,Swiggy,Bengaluru,6-12 months,Car,21252.73,12324.33,2223.24,257,490,46.76,43.34,306.5,40000,46.9,69.2,47.95,-6.05,True,10.5,3,Surviving
W00010,Swiggy,Mumbai,1-2 years,Bicycle,26563.97,26043.97,2884.96,263,567,99.57,46.62,287.0,40000,33.6,34.9,99.03,45.03,False,10.9,1,Stable
W00011,Swiggy,Delhi,1-2 years,Bicycle,24055.36,23535.36,2386.7,270,577,87.54,41.76,292.15,40000,39.9,41.2,87.17,33.17,False,9.9,1,Stable
W00012,Swiggy,Bengaluru,1-2 years,Bike,24587.95,19699.95,2474.37,265,566,74.31,43.56,291.88,40000,38.5,50.8,74.34,20.34,False,10.1,1,Stable
W00013,Swiggy,Mumbai,< 6 months,Bike,18338.14,13268.14,1944.77,252,394,52.52,46.55,328.23,40000,54.2,66.8,52.65,-1.35,True,10.6,3,Surviving
W00014,Swiggy,Bengaluru,2+ years,Bike,27086.86,22198.86,2955.51,251,611,89.71,44.48,246.5,40000,32.3,44.5,88.44,34.44,False,10.9,1,Stable
W00015,Swiggy,Bengaluru,6-12 months,Car,21829.65,12901.25,2223.87,268,503,47.0,43.23,319.88,40000,45.4,67.7,48.14,-5.86,True,10.2,3,Surviving
W00016,Swiggy,Mumbai,< 6 months,Car,18441.26,9185.26,1810.85,246,403,37.46,45.71,316.04,40000,53.9,77.0,37.34,-16.66,True,9.8,3,Surviving
W00017,Swiggy,Mumbai,1-2 years,Car,27473.69,18217.69,2765.11,265,590,67.79,46.29,274.04,40000,31.3,54.5,68.75,14.75,False,10.1,1,Stable
W00018,Swiggy,Delhi,1-2 years,Car,25078.39,15962.79,2519.54,266,598,59.99,41.97,281.5,40000,37.3,60.1,60.01,6.01,False,10.0,3,Surviving
W00019,Swiggy,Delhi,< 6 months,Bike,18583.31,13591.31,1966.45,267,434,50.89,42.79,348.31,40000,53.5,66.0,50.9,-3.1,True,10.6,3,Surviving
